id,dl_inserted_at,resources_engine,resources_resource_crc,resources_resource_stock_crc,resources_resource_stock_status,resources_resource_stock_stock_level,resources_resource_stock_version_nbr,resources_resource_stock_stock_end_dt,resources_resource_stock_stock_start_dt,resources_resource_status,resources_resource_category_crc,resources_resource_category_status,resources_resource_category_category_id,resources_resource_category_category_name,resources_resource_category_category_defn_state,resources_resource_comments,resources_resource_favorite,resources_resource_edit_perm,resources_resource_comment_id,resources_resource_assign_perm,resources_resource_last_mod_dt,resources_resource_resource_id,resources_resource_instructions,resources_resource_last_mod_user,resources_resource_resource_name,resources_resource_schedule_perm,resources_resource_instruction_id,resources_resource_current_stock_level,resources_resource_category,resources_resource_stock
228,2025-10-08 17:37:42.643841,accl,00000022,00000023,est,25.0,2.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391706,C,2019-04-22T16:06:52-04:00,228,,BUMC FA1,BUMC - 72 inch Round Tables - Hiebert,F,391707,25,"[{'crc': '00000021', 'status': 'est', 'category_id': 319, 'category_name': 'Building - Hiebert', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
229,2025-10-08 17:37:42.977261,accl,00000023,,,,,,,est,,,,,,,F,F,,C,2020-08-31T12:44:01-04:00,229,,BUMC FA2,BUMC - 72 inch Round Tables Talbot Green,F,,0,"[{'crc': '00000021', 'status': 'est', 'category_id': 321, 'category_name': 'Building - Talbot', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]","[{'crc': '00000021', 'status': 'est', 'stock_level': 0, 'version_nbr': 7, 'stock_end_dt': '2100-12-31', 'stock_start_dt': '2022-05-16'}, {'crc': '00000022', 'status': 'est', 'stock_level': 10, 'version_nbr': 6, 'stock_end_dt': '2100-01-01', 'stock_start_dt': '2016-12-22'}]"
338,2025-10-08 17:38:10.018194,accl,00000022,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,,,,,,,F,F,,C,2025-04-10T15:42:03-04:00,338,,bumcfa02@bu.edu,BUMC - Echo360 (Recording System)-Mobile,F,,1,,
230,2025-10-08 17:37:43.313196,accl,00000022,00000022,est,3.0,3.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391743,C,2019-04-22T16:02:58-04:00,230,,BUMC FA1,BUMC - 8' Rect Tables - 670 Albany St.,F,391744,3,"[{'crc': '00000021', 'status': 'est', 'category_id': 320, 'category_name': 'Building - 670 Albany', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
232,2025-10-08 17:37:43.640576,accl,00000023,,,,,,,est,,,,,,,F,F,,C,2022-05-16T16:14:39-04:00,232,,BUMC FA1,BUMC - 8' Rect Tables - Talbot Green,F,,2,"[{'crc': '00000021', 'status': 'est', 'category_id': 321, 'category_name': 'Building - Talbot', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]","[{'crc': '00000021', 'status': 'est', 'stock_level': 2, 'version_nbr': 8, 'stock_end_dt': '2100-12-31', 'stock_start_dt': '2022-05-19'}, {'crc': '00000021', 'status': 'est', 'stock_level': 0, 'version_nbr': 7, 'stock_end_dt': '2100-12-31', 'stock_start_dt': '2022-05-16'}, {'crc': '00000022', 'status': 'est', 'stock_level': 8, 'version_nbr': 6, 'stock_end_dt': '2100-01-01', 'stock_start_dt': '2016-12-22'}]"
233,2025-10-08 17:37:43.971008,accl,00000022,00000022,est,18.0,3.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391763,C,2019-04-22T16:08:25-04:00,233,,BUMC FA1,BUMC - 8' Rectangular Tables - Hiebert,F,391764,18,"[{'crc': '00000021', 'status': 'est', 'category_id': 319, 'category_name': 'Building - Hiebert', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
500,2025-10-08 17:37:44.294226,accl,00000023,,,,,,,est,,,,,,"Skinny Rectangular tables, 2' wide x 8' long",F,F,664529,C,2022-05-16T16:15:01-04:00,500,,BUMC FA1,BUMC - 8' Skinny Rect Tables - Talbot,F,,0,"[{'crc': '00000021', 'status': 'est', 'category_id': 321, 'category_name': 'Building - Talbot', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]","[{'crc': '00000021', 'status': 'est', 'stock_level': 0, 'version_nbr': 3, 'stock_end_dt': '2100-12-31', 'stock_start_dt': '2022-05-16'}, {'crc': '00000022', 'status': 'est', 'stock_level': 4, 'version_nbr': 2, 'stock_end_dt': '2100-01-01', 'stock_start_dt': '2018-08-01'}]"
239,2025-10-08 17:37:44.629334,accl,00000022,00000022,est,6.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:46:13-04:00,239,,bumcfa04@bu.edu,BUMC - Adapter - HDMI to VGA,F,,6,,
516,2025-10-08 17:37:44.984057,accl,00000022,00000021,est,2.0,2.0,2100-01-01,2020-02-25,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:46:39-04:00,516,,bumcfa04@bu.edu,BUMC - Adapter - Lightning to VGA,F,,2,,
241,2025-10-08 17:37:45.327614,accl,00000023,00000021,est,6.0,3.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:50:18-04:00,241,,bumcfa04@bu.edu,BUMC - Adapter - Mini Display to HDMI,F,,6,,
240,2025-10-08 17:37:45.657224,accl,00000022,00000022,est,18.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:49:41-04:00,240,,bumcfa04@bu.edu,BUMC - Adapter - Mini Display to VGA,F,,18,,
515,2025-10-08 17:37:45.983752,accl,00000023,00000021,est,10.0,3.0,2100-01-01,2020-02-25,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:47:17-04:00,515,,bumcfa04@bu.edu,BUMC - Adapter - USB-C to HDMI,F,,10,,
514,2025-10-08 17:37:46.315496,accl,00000022,00000021,est,6.0,2.0,2100-01-01,2020-02-25,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:48:29-04:00,514,,bumcfa04@bu.edu,BUMC - Adapter - USB-C to VGA,F,,6,,
527,2025-10-08 17:37:46.640561,accl,00000021,00000021,est,1.0,1.0,2100-01-01,2022-09-01,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2022-10-21T14:46:41-04:00,527,,BUMC FA2,BUMC - AKG DMS100 Wireless Handheld Mic,F,,1,,
451,2025-10-08 17:37:46.978790,accl,00000021,00000022,est,15.0,2.0,2100-01-01,2016-12-22,est,00000021,est,312.0,BUMC - Library,1.0,,F,F,424852,C,2017-05-30T17:50:39-04:00,451,,r25admin,BUMC - AML No Internet,F,424853,15,,
234,2025-10-08 17:37:47.308739,accl,00000021,00000024,est,15.0,2.0,2100-01-01,2016-12-22,est,00000021,est,312.0,BUMC - Library,1.0,,F,F,391765,C,2017-03-09T14:07:56-05:00,234,,service25,BUMC - AML Staff support,F,391766,15,,
244,2025-10-08 17:37:47.643634,accl,00000021,00000022,est,2.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391785,C,2017-03-09T14:10:36-05:00,244,,service25,BUMC - Anchor Speaker (Large Powered),F,391786,2,,
245,2025-10-08 17:37:47.970364,accl,00000022,00000022,est,5.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:44:28-04:00,245,,bumcfa04@bu.edu,BUMC - Anchor Speaker (Small),F,,5,,
499,2025-10-08 17:37:48.302262,accl,00000021,00000021,est,8.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,653632,C,2018-08-16T16:47:45-04:00,499,,BUMC FA2,BUMC - Attendance Reader BB Transaction,F,653633,8,,
246,2025-10-08 17:37:48.645308,accl,00000021,00000021,est,50.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391789,C,2017-03-09T14:11:10-05:00,246,,service25,BUMC - Audience Response System,F,391790,50,,
247,2025-10-08 17:37:48.979259,accl,00000021,00000022,est,15.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391791,C,2017-03-09T14:11:24-05:00,247,,service25,BUMC - Audience Response System (SPH),F,391792,15,,
315,2025-10-08 17:37:49.318296,accl,00000022,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:55:43-04:00,315,,bumcfa04@bu.edu,BUMC - Audio Mixer 16 Channel,F,,1,,
249,2025-10-08 17:37:49.663814,accl,00000023,00000021,est,2.0,3.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:55:13-04:00,249,,bumcfa04@bu.edu,BUMC - Audio Mixer 4 Channel,F,,2,,
243,2025-10-08 17:37:49.990934,accl,00000022,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:53:58-04:00,243,,bumcfa04@bu.edu,BUMC - Audio Mixer 8 Channel,F,,1,,
250,2025-10-08 17:37:50.312379,accl,00000021,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391797,C,2017-03-09T14:12:28-05:00,250,,service25,BUMC - Audio Recorder (Marantz) - CT,F,391798,1,,
235,2025-10-08 17:37:50.639095,accl,00000021,00000022,est,6.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391767,C,2017-03-09T14:08:09-05:00,235,,service25,BUMC - AV Freelance Staff,F,391768,6,,
236,2025-10-08 17:37:50.977275,accl,00000021,00000022,est,6.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391769,C,2017-03-09T14:08:27-05:00,236,,service25,BUMC - AV Freelancer Coverage,F,391770,6,,
488,2025-10-08 17:37:51.298247,accl,00000021,00000021,est,100.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,485586,C,2017-09-05T17:51:53-04:00,488,,BUMC FA1,BUMC - AV notes - See Comments,F,485587,100,,
452,2025-10-08 17:37:51.631661,accl,00000022,00000022,est,100.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:44:57-04:00,452,,bumcfa04@bu.edu,BUMC - AV Setup (Weekend),F,,100,,
237,2025-10-08 17:37:51.952190,accl,00000023,00000023,est,100.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:42:35-04:00,237,,bumcfa04@bu.edu,BUMC - AV Setup / Breakdown,F,,100,,
238,2025-10-08 17:37:52.286705,accl,00000021,00000023,est,6.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391773,C,2017-03-09T14:09:02-05:00,238,,service25,BUMC - AV training,F,391774,6,,
251,2025-10-08 17:37:52.619988,accl,00000021,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391799,C,2017-03-09T14:12:44-05:00,251,,service25,BUMC - Bake Sale (Lobby),F,391800,1,,
252,2025-10-08 17:37:52.947981,accl,00000021,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391801,C,2017-03-09T14:12:57-05:00,252,,service25,BUMC - Bake Sale (Talbot Green),F,391802,1,"[{'crc': '00000021', 'status': 'est', 'category_id': 321, 'category_name': 'Building - Talbot', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
253,2025-10-08 17:37:53.281388,accl,00000021,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391804,C,2017-03-09T14:13:10-05:00,253,,service25,BUMC - Bakst wheelchair access check,F,391805,1,,
254,2025-10-08 17:37:53.609246,accl,00000022,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,,C,2021-06-08T12:19:19-04:00,254,,BUMC FA2,BUMC - Banner-BU Seal-8' x 8',F,,1,,
255,2025-10-08 17:37:53.941356,accl,00000021,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391808,C,2017-03-09T14:13:41-05:00,255,,service25,BUMC - Banner-BUSM Welcome Alumni,F,391809,1,,
256,2025-10-08 17:37:54.272259,accl,00000021,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391810,C,2017-03-09T14:13:59-05:00,256,,service25,BUMC - Banner-BUSM Welcome Students,F,391811,1,,
257,2025-10-08 17:37:54.603957,accl,00000021,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391813,C,2017-03-09T14:14:15-05:00,257,,service25,BUMC - Banner-GMS,F,391814,1,,
258,2025-10-08 17:37:54.930762,accl,00000021,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391815,C,2017-03-09T14:14:31-05:00,258,,service25,BUMC - Banner-SDM,F,391816,1,,
259,2025-10-08 17:37:55.263185,accl,00000021,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391817,C,2017-03-09T14:14:46-05:00,259,,service25,BUMC - Camcorder (Canon Vixia HD),F,391818,1,,
483,2025-10-08 17:37:55.594643,accl,00000021,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,437007,C,2017-06-28T16:35:53-04:00,483,,r25admin,BUMC - Carpet cleaning machine,F,437008,1,,
261,2025-10-08 17:37:55.915716,accl,00000022,00000023,est,2.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391821,C,2019-03-15T12:10:09-04:00,261,,BUMC FAc,BUMC - Chair - Back to orig config,F,391822,2,,
262,2025-10-08 17:37:56.244821,accl,00000022,00000022,est,50.0,3.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391823,C,2019-03-15T12:10:21-04:00,262,,BUMC FAc,BUMC - Chair - Folding (670 Albany),F,391824,50,"[{'crc': '00000021', 'status': 'est', 'category_id': 320, 'category_name': 'Building - 670 Albany', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
263,2025-10-08 17:37:56.590673,accl,00000022,00000022,est,260.0,5.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391825,C,2019-03-15T12:09:57-04:00,263,,BUMC FAc,BUMC - Chair - Folding (Hiebert),F,391826,260,"[{'crc': '00000021', 'status': 'est', 'category_id': 319, 'category_name': 'Building - Hiebert', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
264,2025-10-08 17:37:56.911175,accl,00000022,00000023,est,10.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391827,C,2019-03-15T12:10:30-04:00,264,,BUMC FAc,BUMC - Chair - Needed in room,F,391828,10,,
525,2025-10-08 17:37:57.254948,accl,00000021,00000021,est,300.0,1.0,2100-01-01,2022-07-20,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,,C,2022-07-28T16:15:46-04:00,525,,BUMC FA2,BUMC - Chair - Nesting,F,,300,,
265,2025-10-08 17:37:57.605215,accl,00000022,00000023,est,2.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391829,C,2019-03-15T12:10:39-04:00,265,,BUMC FAc,BUMC - Chair - Remove from room,F,391830,2,,
266,2025-10-08 17:37:57.935648,accl,00000025,,,,,,,est,,,,,,"Quantity revised to 175 from 225 on 10/22. Per Jim Munroe per Paul Tierney, the count was confirmed to be back to 225 (""approximately 230"") on 11/21.",F,F,391831,C,2022-07-07T13:50:50-04:00,266,,BUMC FA2,BUMC - Chair - Tab (Hiebert),F,,0,"[{'crc': '00000021', 'status': 'est', 'category_id': 319, 'category_name': 'Building - Hiebert', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]","[{'crc': '00000021', 'status': 'est', 'stock_level': 225, 'version_nbr': 9, 'stock_end_dt': '2022-07-06', 'stock_start_dt': '2018-11-21'}, {'crc': '00000021', 'status': 'est', 'stock_level': 0, 'version_nbr': 8, 'stock_end_dt': '2100-12-31', 'stock_start_dt': '2022-07-07'}, {'crc': '00000023', 'status': 'est', 'stock_level': 175, 'version_nbr': 6, 'stock_end_dt': '2018-11-21', 'stock_start_dt': '2018-10-22'}, {'crc': '00000025', 'status': 'est', 'stock_level': 225, 'version_nbr': 4, 'stock_end_dt': '2018-10-21', 'stock_start_dt': '2016-12-22'}]"
447,2025-10-08 17:37:58.273570,accl,00000021,00000021,est,12.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,393582,C,2017-03-10T11:49:37-05:00,447,,service25,BUMC - Chalkboard Cleaning Custodian,F,393583,12,,
511,2025-10-08 17:37:58.589100,accl,00000022,00000022,est,2.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,"Added 10/11/18 to replace ""BUMC – Polycom Analog Phone System""",F,F,702739,C,2018-10-11T11:07:30-04:00,511,,BUMC FA2,BUMC - Cisco VOIP Conference Phone,F,702740,2,,
268,2025-10-08 17:37:58.906446,accl,00000021,00000022,est,12.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,391835,C,2017-03-09T14:17:12-05:00,268,,service25,BUMC - Classroom Capture Recording,F,391836,12,,
457,2025-10-08 17:37:59.240562,accl,00000021,00000023,est,10.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,436818,C,2017-06-28T09:48:52-04:00,457,,r25admin,BUMC - Classroom Capture Recording - L2,F,436819,10,,
421,2025-10-08 17:37:59.571041,accl,00000021,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392242,C,2017-03-09T14:59:41-05:00,421,,service25,BUMC - CSSC Catheter Model Male(CAT03a),F,392243,1,,
422,2025-10-08 17:37:59.903839,accl,00000021,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392244,C,2017-03-09T14:59:57-05:00,422,,service25,BUMC - CSSC Catheter ModelFemale(CAT03b),F,392245,1,,
423,2025-10-08 17:38:00.231910,accl,00000021,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392246,C,2017-03-09T15:00:12-05:00,423,,service25,BUMC - CSSC Female cath Sim.(CAT02),F,392247,1,,
424,2025-10-08 17:38:00.551127,accl,00000021,00000021,est,10.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392248,C,2017-03-09T15:00:28-05:00,424,,service25,BUMC - CSSC IV training arm(ARM10-20),F,392249,10,,
425,2025-10-08 17:38:00.867792,accl,00000021,00000021,est,20.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392250,C,2017-03-09T15:00:46-05:00,425,,service25,BUMC - CSSC LP simulator 1(LP01),F,392251,20,,
426,2025-10-08 17:38:01.195026,accl,00000021,00000021,est,20.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392252,C,2017-03-09T15:01:03-05:00,426,,service25,BUMC - CSSC LP simulator 2(LP02),F,392253,20,,
427,2025-10-08 17:38:01.510162,accl,00000021,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392254,C,2017-03-09T15:01:19-05:00,427,,service25,BUMC - CSSC Male CathSim(CAT01),F,392255,1,,
428,2025-10-08 17:38:01.822209,accl,00000021,00000021,est,10.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392256,C,2017-03-09T15:01:34-05:00,428,,service25,BUMC - CSSC Multi-venIV arm kit(ARM1-10),F,392257,10,,
429,2025-10-08 17:38:02.138470,accl,00000021,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,309.0,MED - CSSC,1.0,,F,F,392258,C,2017-03-09T15:01:49-05:00,429,,service25,BUMC - CSSC NG Tube &Trach Sim.(NG01),F,392259,1,,
